Time,V(I=0.0),V(I=0.3),V(I=0.6)
180.5,-1.1994080352440357,-0.989419040282546,-1.3214948056786553
181.0,-1.1994080352440357,-0.9898018817401295,-1.2899019676627472
181.5,-1.1994080352440357,-0.9902449596750369,-1.257704632642663
182.0,-1.1994080352440357,-0.9907380917520513,-1.2247738389821965
182.5,-1.1994080352440357,-0.9912702658103465,-1.1909498080725827
183.0,-1.1994080352440357,-0.9918298872199424,-1.1560317542123209
183.5,-1.1994080352440357,-0.9924050384329545,-1.1197633923292643
184.0,-1.1994080352440357,-0.9929837436482348,-1.0818119072273633
184.5,-1.1994080352440357,-0.9935542312036829,-1.041736746975963
185.0,-1.1994080352440357,-0.9941051863503838,-0.9989421616527503
185.5,-1.1994080352440357,-0.9946259874494163,-0.9526030225193356
186.0,-1.1994080352440357,-0.9951069193409431,-0.9015453136961948
186.5,-1.1994080352440357,-0.9955393586165422,-0.844047036057026
187.0,-1.1994080352440357,-0.9959159267106807,-0.7774940929851452
187.5,-1.1994080352440357,-0.9962306080345169,-0.6977615963339414
188.0,-1.1994080352440357,-0.9964788317195026,-0.5980562790915693
188.5,-1.1994080352440357,-0.9966575168381622,-0.4666772512775292
189.0,-1.1994080352440357,-0.9967650821544389,-0.28266110977521386
189.5,-1.1994080352440357,-0.9968014224715955,-0.008142799650273536
190.0,-1.1994080352440357,-0.9967678544561531,0.41729518881944394
190.5,-1.1994080352440357,-0.9966670354055158,1.0262010854433576
191.0,-1.1994080352440357,-0.9965028587965756,1.5801421344286573
191.5,-1.1994080352440357,-0.9962803306196828,1.7735778444269636
192.0,-1.1994080352440357,-0.9960054304951573,1.8236501727779573
192.5,-1.1994080352440357,-0.9956849614233387,1.8284201568886178
193.0,-1.1994080352440357,-0.9953263917723921,1.8131635572355078
193.5,-1.1994080352440357,-0.9949376927985496,1.7876455101114566
194.0,-1.1994080352440357,-0.9945271746556721,1.756540715463279
194.5,-1.1994080352440357,-0.9941033235141332,1.7222794686074698
195.0,-1.1994080352440357,-0.9936746420957014,1.68613242071899
195.5,-1.1994080352440357,-0.9932494956568996,1.6487339617823762
196.0,-1.1994080352440357,-0.9928359652268658,1.6103652549619898
196.5,-1.1994080352440357,-0.9924417097290964,1.5711099528587786
197.0,-1.1994080352440357,-0.9920738384859449,1.5309366907338444
197.5,-1.1994080352440357,-0.9917387955119182,1.489739217398276
198.0,-1.1994080352440357,-0.9914422569344561,1.4473520278179723
198.5,-1.1994080352440357,-0.9911890428242616,1.4035510508417048
199.0,-1.1994080352440357,-0.9909830446552708,1.3580435576697731
199.5,-1.1994080352440357,-0.9908271695307913,1.3104477690489063
200.0,-1.1994080352440357,-0.9907233021921407,1.2602595424651595
200.5,-1.1994080352440357,-0.9906722856565795,1.2067998884154516
201.0,-1.1994080352440357,-0.9906739211032951,1.149131422459789
201.5,-1.1994080352440357,-0.9907269873350438,1.0859216688796833
202.0,-1.1994080352440357,-0.9908292797895155,1.0152112486999814
202.5,-1.1994080352440357,-0.9909776686650552,0.9340041168761464
203.0,-1.1994080352440357,-0.991168175272396,0.8375092852109937
203.5,-1.1994080352440357,-0.9913960652452446,0.7176688912674066
204.0,-1.1994080352440357,-0.9916559567600723,0.5601759907969808
